id,emp_no,title,from_date,to_date
58,10040,Engineer,1993-02-14,1999-02-14
59,10040,Senior Engineer,1999-02-14,9999-01-01
445,10298,Staff,1999-04-27,9999-01-01
894,10604,Engineer,1990-04-07,1997-04-07
895,10604,Senior Engineer,1997-04-07,9999-01-01
1013,10681,Staff,1995-10-02,9999-01-01
1477,11004,Engineer,1992-01-19,1998-01-18
1478,11004,Senior Engineer,1998-01-18,9999-01-01
1610,11092,Staff,1999-04-05,9999-01-01
2156,11456,Engineer,1999-03-20,9999-01-01
2443,11649,Technique Leader,1992-12-11,9999-01-01
2565,11732,Senior Engineer,1996-12-22,9999-01-01
3114,12098,Senior Staff,1996-01-21,9999-01-01
3115,12098,Staff,1991-01-21,1996-01-21
3299,12226,Engineer,1997-02-07,9999-01-01
4256,12877,Senior Staff,2001-07-10,9999-01-01
4257,12877,Staff,1995-07-11,2001-07-10
4395,12968,Assistant Engineer,1994-03-02,1999-03-02
4396,12968,Engineer,1999-03-02,9999-01-01
5032,13402,Engineer,1999-09-12,9999-01-01
5113,13458,Engineer,1989-03-02,1995-03-02
5114,13458,Senior Engineer,1995-03-02,9999-01-01
5223,13528,Senior Staff,1998-08-21,9999-01-01
5224,13528,Staff,1991-08-21,1998-08-21
5241,13538,Senior Engineer,1997-06-08,9999-01-01
5666,13822,Staff,1998-11-14,2002-05-22
5731,13870,Engineer,1997-02-17,9999-01-01
6176,14179,Senior Staff,1993-09-18,9999-01-01
6460,14372,Engineer,1999-12-26,9999-01-01
6791,14596,Engineer,1992-12-23,2000-12-23
6792,14596,Senior Engineer,2000-12-23,9999-01-01
7383,14989,Assistant Engineer,1986-03-18,1991-03-18
7384,14989,Engineer,1991-03-18,1996-03-17
7385,14989,Senior Engineer,1996-03-17,9999-01-01
7992,15410,Senior Staff,1998-09-13,9999-01-01
7993,15410,Staff,1989-09-13,1998-09-13
8326,15643,Engineer,1999-08-16,9999-01-01
8355,15662,Staff,1999-09-04,9999-01-01
8430,15715,Staff,1999-09-21,9999-01-01
8461,15734,Engineer,1996-12-24,9999-01-01
8477,15745,Engineer,1991-07-16,1998-07-16
8478,15745,Senior Engineer,1998-07-16,9999-01-01
8707,15893,Technique Leader,2000-01-08,9999-01-01
8766,15932,Staff,1998-12-11,9999-01-01
8972,16070,Senior Engineer,1995-10-14,9999-01-01
9052,16122,Engineer,1989-06-12,1996-06-12
9053,16122,Senior Engineer,1996-06-12,9999-01-01
9067,16132,Engineer,1993-10-21,2001-10-21
9068,16132,Senior Engineer,2001-10-21,9999-01-01
9268,16272,Assistant Engineer,1986-04-16,1991-04-16
9269,16272,Engineer,1991-04-16,1996-04-15
9270,16272,Senior Engineer,1996-04-15,9999-01-01
9349,16325,Technique Leader,1998-01-29,9999-01-01
9883,16689,Engineer,2000-01-13,9999-01-01
9999,16768,Senior Engineer,1992-11-21,9999-01-01
10324,16989,Assistant Engineer,1992-03-24,2001-03-24
10325,16989,Engineer,2001-03-24,9999-01-01
10959,17419,Engineer,1997-03-04,9999-01-01
11164,17559,Senior Engineer,1993-09-04,9999-01-01
11906,18050,Engineer,1999-08-16,9999-01-01
